name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
SETD2_exon3	11	1.0592	0.1036	1.0442	0.9226	1.2407	1.0442	0.1036
SETD2_exon4	11	0.945	0.0571	0.9326	0.8725	1.0511	0.9326	0.0571
SETD2_exon5	11	1.0902	0.1178	1.0816	0.8846	1.251	1.0816	0.1178
SETD2_exon6	11	0.7407	0.1137	0.7598	0.5609	0.8926	0.7598	0.1137
SETD2_exon7	11	0.9088	0.0926	0.9101	0.8049	1.0554	0.9101	0.0926
SETD2_exon8	11	0.7838	0.1516	0.7029	0.5325	0.9913	0.7029	0.1516
SETD2_exon9	11	1.2609	0.1161	1.2549	1.0143	1.452	1.2549	0.1161
SF3B1_exon1	11	0.9994	0.0955	0.9924	0.8065	1.1174	0.9924	0.0955
SF3B1_exon10	11	1.4109	0.1149	1.4136	1.1191	1.5608	1.4136	0.1149
SF3B1_exon11	11	1.3206	0.1676	1.3696	1.024	1.5179	1.3696	0.1676
SF3B1_exon12	11	1.1805	0.1269	1.2436	0.8868	1.3018	1.2436	0.1269
SF3B1_exon13	11	1.3615	0.1417	1.4075	1.0654	1.5556	1.4075	0.1417
SF3B1_exon14	11	1.2654	0.1192	1.2695	1.0418	1.5194	1.2695	0.1192
SF3B1_exon15	11	1.2875	0.0913	1.313	1.0572	1.3965	1.313	0.0913
SF3B1_exon16	11	1.2752	0.1178	1.3186	1.0751	1.4835	1.3186	0.1178
SF3B1_exon17	11	1.1652	0.1426	1.192	0.9547	1.3905	1.192	0.1426
SF3B1_exon18	11	1.2481	0.073	1.2544	1.1564	1.3791	1.2544	0.073
SF3B1_exon19	11	0.6911	0.0738	0.6883	0.6009	0.8086	0.6883	0.0738
SF3B1_exon2	11	0.6323	0.0598	0.6546	0.5296	0.7292	0.6546	0.0598
SF3B1_exon20	11	0.9478	0.0673	0.9623	0.8404	1.0539	0.9623	0.0673
SF3B1_exon21	11	0.8135	0.0661	0.7983	0.7368	0.9476	0.7983	0.0661
SF3B1_exon22	11	1.1557	0.0688	1.1681	1.0284	1.2603	1.1681	0.0688
SF3B1_exon23	11	1.0039	0.066	1.0244	0.9133	1.109	1.0244	0.066
SF3B1_exon24	11	1.0489	0.0921	1.0547	0.8584	1.1769	1.0547	0.0921
SF3B1_exon25	11	1.246	0.0871	1.2803	1.0097	1.3242	1.2803	0.0871
SF3B1_exon26	11	1.0868	0.0767	1.0715	0.9875	1.2264	1.0715	0.0767
SF3B1_exon27	11	1.1607	0.1842	1.0993	0.9258	1.5775	1.0993	0.1842
SF3B1_exon3	11	1.2538	0.0901	1.2699	1.0548	1.4132	1.2699	0.0901
SF3B1_exon4	11	1.4055	0.1164	1.3907	1.2072	1.6124	1.3907	0.1164
SF3B1_exon5	11	1.3687	0.0681	1.3598	1.2582	1.4948	1.3598	0.0681
SF3B1_exon6	11	1.0254	0.0859	1.0738	0.8909	1.1083	1.0738	0.0859
SF3B1_exon7	11	1.0612	0.0927	1.059	0.8943	1.2345	1.059	0.0927
